event,mean_mean_nnd,mean_sd_nnd,sd_mean_nnd,mean_pol,sd_pol,cv_speed,mean_sd_front,mean_mean_bangl,mean_shape,sd_shape,species
141,14.33592173,22.43258783,1.408164264,0.38879977,0.145333711,0.258247722,0.289845625,1.428753979,0.842684598,0.440121388,baboons
142,16.37342279,18.86318662,2.036373774,0.524333499,0.159921059,0.232677581,0.329745381,1.485329458,0.952188059,0.337018491,baboons
143,26.33243942,35.74392297,2.749947376,0.688297218,0.123624212,0.33189057,0.294460876,1.594443124,1.096350032,0.425810354,baboons
144,15.71338197,16.60806595,1.507527659,0.440705202,0.164183199,0.600496243,0.290665692,1.512601127,0.605900274,0.461707825,baboons
145,10.75008779,5.546974442,1.938870924,0.429008665,0.165063014,0.271625737,0.299645228,1.543693332,0.394001768,0.366022274,baboons
146,13.45673693,14.04309013,5.629862376,0.68184109,0.153429956,0.427804715,0.292623246,1.709397971,0.469775238,0.2443234,baboons
147,6.479811727,7.009407591,1.102034786,0.553506352,0.139206108,0.364696662,0.348293381,1.476360635,0.815255764,0.382245133,baboons
148,11.52483082,13.11039154,1.729888132,0.557382596,0.174285596,0.36200744,0.335851132,1.618318092,0.3274237,0.263476912,baboons
149,11.0509289,11.30184046,4.088770891,0.608215188,0.168808262,0.272806309,0.327108916,1.733345231,0.311887881,0.220344669,baboons
150,6.379551123,4.768758735,1.52893726,0.723130747,0.182872008,0.31776756,0.352900447,1.582328702,1.283423276,0.285023676,baboons
151,4.019633943,3.400220794,0.716121471,0.485762092,0.138934054,0.192603315,0.335528048,1.503727462,1.222126114,0.309563455,baboons
152,7.95350953,6.662223893,1.813080874,0.671304774,0.198560889,0.376628086,0.3327979,1.549234164,1.333658482,0.230719179,baboons
155,25.06580609,33.28722411,2.412570921,0.595947689,0.143686493,0.343807679,0.32324595,1.59160946,1.074625762,0.344892756,baboons
156,13.4378063,11.81457613,0.471188783,0.619924315,0.142847456,0.268884686,0.362138549,1.551603077,0.330911707,0.198764572,baboons
157,18.45061187,26.50395871,2.251815337,0.484469234,0.183549994,0.431905142,0.293289143,1.560858325,0.421225374,0.352721224,baboons
159,26.8381365,44.10055071,6.644438466,0.485296569,0.166829321,0.249162394,0.289121095,1.498110516,0.40429582,0.284229965,baboons
161,20.04754052,27.3735769,10.14664827,0.535284453,0.143725621,0.228024058,0.36015572,1.548978244,0.270360534,0.200195358,baboons
162,15.40670311,11.9542822,1.079493455,0.467608881,0.175736473,0.284819312,0.345914387,1.31715967,1.142429634,0.295971479,baboons
163,23.13468914,32.26657189,1.779139087,0.566894431,0.157409414,0.310592743,0.311555197,1.684520104,1.215438112,0.267229412,baboons
165,16.52867656,12.20540685,1.534031418,0.642148909,0.185860408,0.263932729,0.30523375,1.618476273,0.421071263,0.262134813,baboons
168,20.11439881,13.30141971,0.56740802,0.62671946,0.102380277,0.252663379,0.297938886,1.604018551,0.544063593,0.217669086,baboons
169,27.0665887,22.37844472,3.039024096,0.529187085,0.168701135,0.341988796,0.302089867,1.548780969,0.895625867,0.423264487,baboons
171,25.7536328,21.66530169,2.160404934,0.518724626,0.171388766,0.194547453,0.285580117,1.322029353,1.048588106,0.30108634,baboons
172,31.01267889,29.30022366,5.760001272,0.583968592,0.142711749,0.283768596,0.294486866,1.659760239,0.547894363,0.349185084,baboons
174,18.79211521,18.66451863,0.460805821,0.613056028,0.16100564,0.087244998,0.293357933,1.615193402,1.422416538,0.134990328,baboons
175,11.55319657,10.74727961,4.016283176,0.735531587,0.168081001,0.279759597,0.354501408,1.606679541,1.37936244,0.184544899,baboons
176,17.38721913,17.52865607,2.244701579,0.403608015,0.144379253,0.296626794,0.314323101,1.573666767,0.801997997,0.451762336,baboons
179,11.49120199,7.756308959,1.835454323,0.609567903,0.189108927,0.219643077,0.310474043,1.366087759,0.768028305,0.330355144,baboons
180,8.756872648,6.863189749,0.173359445,0.44086012,0.171893405,0.273499229,0.329048107,1.413144438,1.12738652,0.405241041,baboons
181,10.75305026,7.266313645,2.945542174,0.549285534,0.164231747,0.236572137,0.339484931,1.653543187,0.521846449,0.338092769,baboons
182,8.441086719,4.833571632,0.426502299,0.565866775,0.179190889,0.29328121,0.405750431,1.578563462,1.136066373,0.307735514,baboons
183,11.67724208,16.47663912,7.126129649,0.381466693,0.166115586,0.844813345,0.353973669,1.466080361,0.95358577,0.360508939,baboons
184,8.103363339,9.57875509,2.109407264,0.646133055,0.146043149,0.352928609,0.334361511,1.574434485,0.870216225,0.366055222,baboons
185,11.9085614,7.799158368,2.228750263,0.541995997,0.179342048,0.313639412,0.294379205,1.56147153,0.519093217,0.438100069,baboons
187,15.51189079,12.17418543,5.369211777,0.624967424,0.168498525,0.240053114,0.319825345,1.569697877,1.18829376,0.34761147,baboons
188,15.39489573,8.144515572,2.429351195,0.615938666,0.127864832,0.207749029,0.288222805,1.61905441,1.158576391,0.273026227,baboons
189,8.743297065,7.555704556,1.58361351,0.60318866,0.124755356,0.224228068,0.365621024,1.688204244,1.217830082,0.218655215,baboons
190,21.58349981,24.08605837,4.480262447,0.597510511,0.158648854,0.308070213,0.350591986,1.584617461,1.266923279,0.245505317,baboons
192,27.22381596,24.29637831,3.570344906,0.487467714,0.184064568,0.295425739,0.293686383,1.569490382,1.116182115,0.323768458,baboons
196,15.65377178,19.38194585,3.892955829,0.692015722,0.207719406,0.263178071,0.304798803,1.503895573,1.083651289,0.302902138,baboons
197,21.71009403,22.43017085,0.809285563,0.441304953,0.200580014,0.389670675,0.29312275,1.600554522,0.622503481,0.487707643,baboons
198,20.7156199,22.93159726,0.823313873,0.50276631,0.089267499,0.272795832,0.320504231,1.412683821,0.358154355,0.223245932,baboons
199,17.11629442,21.8773403,1.654533738,0.433677443,0.193408036,0.316357643,0.295937016,1.43060066,0.557229755,0.386081173,baboons
201,18.22479385,14.71430626,4.352996307,0.558761047,0.159780034,0.277151347,0.295182476,1.530512055,1.179964591,0.330244137,baboons
202,9.865324322,6.390456495,2.334560363,0.760661803,0.19018036,0.330241545,0.342105593,1.556983053,1.364945679,0.235620004,baboons
203,10.26414455,7.269520387,4.034592905,0.601974893,0.210827209,0.467187136,0.334518408,1.605377101,1.222090945,0.306596076,baboons
204,14.69390818,19.73095851,3.132273508,0.612938922,0.194086083,0.293516565,0.339775157,1.52302747,1.143254645,0.327374882,baboons
205,22.90542833,17.67917948,9.498477809,0.597687785,0.159899847,0.193329511,0.360249668,1.550997425,1.299646323,0.226192374,baboons
206,15.86824084,10.79577219,2.368858483,0.472116884,0.219362818,0.263521481,0.277652222,1.678691631,0.946804972,0.461155671,baboons
208,19.53317348,32.75884552,5.719156545,0.667700659,0.181767147,0.490237646,0.273889572,1.468879991,0.629469507,0.34968722,baboons
209,9.257501412,5.850183265,3.266048695,0.62705494,0.159224939,0.335762036,0.319278894,1.534212832,0.832170369,0.409678162,baboons
211,9.436918956,8.246608028,1.379706827,0.499584287,0.157297564,0.348004201,0.374234498,1.499909865,1.127388836,0.246564989,baboons
215,12.19129355,11.44544885,3.005463213,0.662442078,0.178371835,0.27755307,0.39145054,1.450770694,1.141211516,0.30304363,baboons
217,16.02036224,16.77628485,1.280830241,0.563112139,0.177680643,0.283320172,0.317775437,1.503185345,0.978712209,0.325494938,baboons
218,26.06450007,35.26802522,3.058289635,0.551081632,0.158988601,0.336594418,0.304661627,1.529872504,0.565844012,0.339514954,baboons
219,19.91626126,22.82969231,2.265439584,0.746196437,0.179462346,0.432660975,0.270711253,1.540612239,0.62317875,0.341876218,baboons
220,16.66776845,16.13711997,4.260554212,0.643133457,0.167984634,0.319660174,0.289828448,1.60801157,0.957730697,0.386765531,baboons
221,14.48468127,8.852389625,3.032466736,0.554388138,0.170117901,0.332084243,0.308195084,1.553314749,0.394219588,0.292377003,baboons
222,6.892774069,4.074148851,1.586724486,0.778479641,0.169648539,0.356426794,0.333544524,1.600222331,1.185632077,0.350457457,baboons
224,17.62751099,17.7498471,1.97734642,0.443478339,0.151220477,0.317121546,0.313178847,1.628497721,1.174254321,0.319424028,baboons
225,14.86189535,11.07240926,1.829927046,0.351322348,0.129315049,0.123456053,0.380070357,1.37304501,1.172369327,0.41343062,baboons
226,11.79814302,9.193918326,0.473922591,0.366499763,0.164094798,0.108670951,0.342853412,1.60947629,0.6992241,0.372003634,baboons
227,10.94861301,11.6029581,0.415785698,0.380922863,0.149533401,0.162195529,0.343172008,1.627478199,0.684694514,0.355989166,baboons
229,7.245625647,5.613256123,2.165229338,0.791769008,0.166147705,0.294805547,0.360005302,1.536722734,1.364558194,0.223487237,baboons
232,19.50380382,20.95388356,5.055122645,0.664793025,0.166563789,0.340275404,0.288738998,1.636666037,0.607856221,0.38407376,baboons
233,18.8254861,13.31741699,2.593962499,0.475716826,0.180353299,0.634992228,0.311466044,1.585904927,1.171519992,0.332286241,baboons
234,12.2388084,5.771593642,1.519363919,0.637656082,0.171482471,0.222511344,0.333523756,1.667026536,1.058129202,0.233077098,baboons
235,15.18175578,7.596946917,1.499204768,0.506237972,0.157747456,0.288802347,0.282132531,1.628311057,0.398676657,0.270670338,baboons
236,13.17531785,6.703362401,0.56947797,0.528162184,0.129893724,0.343389804,0.26475677,1.682112772,0.491363732,0.242641339,baboons
238,10.49477361,8.462986114,3.769915908,0.680819498,0.204701619,0.411312409,0.33683377,1.558557985,1.192783874,0.342562373,baboons
239,11.34705344,6.491495271,2.068655486,0.58541738,0.182453056,0.354882157,0.3287195,1.578802515,1.193012646,0.302961059,baboons
240,14.77436677,10.4354278,3.209634953,0.596057489,0.159700385,0.25896667,0.288057093,1.716000708,0.57208019,0.315898585,baboons
244,18.45351825,13.90026764,1.161797836,0.65881654,0.108366697,0.188667913,0.32211637,1.489781711,0.521379365,0.227984391,baboons
245,22.39324358,15.1500163,2.370947567,0.603428974,0.170586369,0.324350302,0.297654957,1.370349867,1.35253282,0.174659556,baboons
246,9.896234788,5.10645581,1.622099941,0.570067701,0.163691831,0.5307401,0.303924421,1.630239244,1.217346636,0.270422431,baboons
247,8.093968543,5.639412911,3.217223629,0.669432552,0.170255445,0.520957377,0.323889532,1.564176577,0.506723899,0.336311433,baboons
248,7.456028838,4.865226556,2.697681365,0.705042817,0.177323623,0.276556084,0.367038056,1.562870883,1.079032855,0.350110032,baboons
249,7.414808802,3.361613719,0.923555191,0.464808085,0.190747004,0.288268299,0.295410096,1.415330316,0.970884994,0.372606389,baboons
250,11.58692325,9.117099247,8.677008149,0.617035326,0.165418949,0.399193167,0.370167466,1.557379448,1.145660642,0.298560327,baboons
251,16.32548257,15.92303625,4.144761965,0.596728961,0.164628354,0.306456131,0.291339506,1.506544851,1.244881724,0.305750323,baboons
252,10.95197561,6.447476752,2.148765846,0.612917335,0.188771938,0.455015103,0.271212317,1.63147071,0.778520157,0.41245333,baboons
253,19.80766243,22.16013766,3.833263633,0.56623189,0.161034443,0.284507666,0.270342282,1.557225914,1.132854971,0.298696681,baboons
254,11.97144083,12.7686544,1.610592602,0.555251307,0.173556906,0.306251313,0.292179539,1.601973493,1.148283775,0.303985197,baboons
255,18.61505866,28.13494307,1.597928405,0.467974271,0.177866925,0.323839606,0.307984087,1.564959791,0.550479273,0.396556264,baboons
256,10.60161575,7.817666548,1.616580423,0.589618845,0.190920675,0.287979421,0.276478447,1.428302948,0.536978838,0.311950423,baboons
258,10.33504493,11.74453618,4.88856598,0.706290049,0.202848231,0.38806915,0.377158669,1.616783072,1.306076974,0.24432952,baboons
261,14.53678123,19.24414427,1.390836406,0.624512278,0.156890895,0.287193017,0.360051125,1.475307963,1.24789081,0.269983032,baboons
1,5.144503594,3.706402838,0.959674892,0.525361006,0.117150161,0.099738194,0.298917864,1.530769734,1.299234972,0.190490187,goats
3,4.641215748,4.155407588,0.6589748,0.612804528,0.122825037,0.123301407,0.30506081,1.662469903,1.359739166,0.14046133,goats
4,4.544630217,3.733681564,0.646629909,0.591876177,0.105952712,0.215701265,0.293137894,1.471819742,1.362039631,0.173645804,goats
5,8.115264003,9.47669258,0.481907934,0.583729785,0.142418108,0.185728643,0.343512561,1.683925075,1.057861031,0.279515436,goats
7,4.208045963,2.398004488,0.202607806,0.673068633,0.144995467,0.237930237,0.28992653,1.588399144,1.350112051,0.170592698,goats
9,6.937982055,5.476190836,1.637867076,0.615917598,0.231709926,0.341224903,0.306368163,1.382647492,1.218290907,0.289326708,goats
11,3.479163625,3.278390326,0.223878555,0.598447208,0.173438657,0.11372101,0.331327403,1.463849464,1.281442188,0.214877312,goats
12,3.488717249,2.270348985,0.878988472,0.535691909,0.202104892,0.408358258,0.28120742,1.638260479,0.90609142,0.400154562,goats
13,4.215079984,3.015064906,1.279005591,0.785531463,0.188771813,0.334398784,0.313627626,1.534098253,1.246296781,0.249462927,goats
14,3.550280878,4.41550497,0.624929613,0.705195105,0.177727543,0.385055442,0.310078009,1.423759712,1.186412154,0.323159024,goats
16,4.010723789,3.235822136,0.292287682,0.521293264,0.149500127,0.192290338,0.255713415,1.149372426,1.049103234,0.259017331,goats
17,1.665861874,1.854356719,0.941513386,0.813722387,0.203462632,0.435244814,0.304439579,1.516355709,1.205696157,0.338745779,goats
18,3.648800719,2.486583044,1.066849173,0.670787244,0.172149003,0.373983546,0.297740654,1.521225766,1.263099509,0.336803193,goats
21,5.183855497,4.160589204,1.328445441,0.600771566,0.143575433,0.269437285,0.299906931,1.536734004,1.171794672,0.263091749,goats
22,4.959744716,6.64334409,0.435438402,0.537651386,0.063362313,0.159222783,0.338714708,1.459341155,0.310799911,0.247383337,goats
23,6.481959867,3.590197507,0.106850554,0.681922132,0.128283102,0.190516403,0.304973447,1.384245419,0.214251741,0.137834664,goats
24,9.121376398,7.811458214,1.442840534,0.62679623,0.152161876,0.229638473,0.30302751,1.557816019,0.724331063,0.367964859,goats
25,8.890419229,9.911048836,0.48223408,0.626434474,0.163210729,0.140781005,0.280828155,1.192793023,0.890310116,0.14595026,goats
26,3.818981288,2.690399491,0.688836503,0.666156646,0.152670905,0.272108521,0.297674331,1.507583072,1.296176978,0.215170851,goats
27,5.860113946,3.974817278,2.117383809,0.690202741,0.181726758,0.331559744,0.307030522,1.489775948,1.268021987,0.244497562,goats
28,3.327479625,3.223489282,0.310475213,0.5817863,0.125794639,0.279272955,0.28705386,1.569306076,0.924892768,0.516770076,goats
29,7.471317169,7.154242641,2.423391959,0.632062982,0.191739497,0.279170715,0.298818894,1.489957415,1.100774682,0.320219361,goats
30,4.474178592,2.405524976,1.038375281,0.636191064,0.174541261,0.240137524,0.291347168,1.589100993,0.999843771,0.398619171,goats
32,10.46329827,5.54814416,2.048017844,0.625072743,0.138448414,0.220721552,0.317875751,1.508813332,1.213833389,0.22868844,goats
33,3.965838372,3.424563996,0.486154963,0.558840352,0.148593101,0.253900215,0.333359015,1.427532151,1.192518577,0.225017895,goats
34,4.764108316,5.871264994,1.120075422,0.844172561,0.149309088,0.294405256,0.342544423,1.467310352,1.320066889,0.249786708,goats
35,2.945771047,1.491515177,0.987370813,0.798850545,0.1437021,0.376092916,0.320576918,1.574147984,1.311882088,0.222336889,goats
1,2.177388931,1.467785191,0.401548614,0.998444234,0.000995518,0.085694627,0.298840107,1.552385633,0.313929035,0.226521325,pigeons
2,2.158479009,1.236141332,0.296437615,0.997686969,0.004380366,0.064012157,0.314988238,1.568959833,0.344214577,0.284942307,pigeons
